trial_id,condition,amplitude_uv
control-001,control,0.3610
control-002,control,1.4806
control-003,control,0.9488
control-004,control,1.0037
control-005,control,0.9793
control-006,control,0.5177
control-007,control,1.5646
control-008,control,1.1496
control-009,control,0.6286
control-010,control,1.5346
control-011,control,0.7341
control-012,control,1.1684
control-013,control,1.3705
control-014,control,0.5135
control-015,control,1.0027
control-016,control,0.6056
control-017,control,1.0298
control-018,control,0.8805
control-019,control,0.2859
control-020,control,0.9134
control-021,control,0.9979
control-022,control,1.4180
control-023,control,0.9585
control-024,control,1.3590
control-025,control,0.4948
control-026,control,1.7969
control-027,control,0.8341
control-028,control,1.2082
control-029,control,1.1118
control-030,control,1.1083
control-031,control,1.9219
control-032,control,1.1673
control-033,control,0.5619
control-034,control,0.8193
control-035,control,1.1266
control-036,control,0.8267
control-037,control,1.3314
control-038,control,1.0861
control-039,control,1.0815
control-040,control,0.2170
treatment-001,treatment,0.6728
treatment-002,treatment,1.5784
treatment-003,treatment,1.5701
treatment-004,treatment,1.4572
treatment-005,treatment,1.5456
treatment-006,treatment,1.2660
treatment-007,treatment,1.3649
treatment-008,treatment,1.4409
treatment-009,treatment,1.6649
treatment-010,treatment,1.6731
treatment-011,treatment,1.1621
treatment-012,treatment,0.9989
treatment-013,treatment,1.7746
treatment-014,treatment,1.5097
treatment-015,treatment,1.2390
treatment-016,treatment,1.1846
treatment-017,treatment,0.9578
treatment-018,treatment,0.9884
treatment-019,treatment,1.4530
treatment-020,treatment,0.6293
treatment-021,treatment,1.0150
treatment-022,treatment,1.9218
treatment-023,treatment,1.4073
treatment-024,treatment,2.2344
treatment-025,treatment,1.6931
treatment-026,treatment,1.6067
treatment-027,treatment,1.3518
treatment-028,treatment,1.4337
treatment-029,treatment,1.1424
treatment-030,treatment,1.1475
treatment-031,treatment,0.8965
treatment-032,treatment,1.4293
treatment-033,treatment,1.0576
treatment-034,treatment,1.6368
treatment-035,treatment,1.4565
treatment-036,treatment,1.2681
treatment-037,treatment,1.6548
treatment-038,treatment,1.1167
treatment-039,treatment,1.3522
treatment-040,treatment,1.1846
